id,duration,intensity,cog,sdev,skew,kurt,Segment,Vowel,Variety,Stress,Voice,Position
2158,0.0741322173,36.0149144054,9990.0937350327,2388.8184498554,-2.2855998114,6.8101529634,s,a,CG,Unstressed,Voiceless,Initial
2159,0.0802956458,36.1187851151,10828.9029877859,1764.8453419338,-1.8330914039,6.1702416059,s,a,CG,Stressed,Voiceless,Initial
2160,0.0737140355,34.5605548638,10867.7094466195,1515.6829038868,-2.104363505,9.2257387363,s,a,CG,Unstressed,Voiceless,Initial
2161,0.1147148542,39.6150527834,11884.4428372216,1573.7166264927,-0.9178740205,12.2781709319,s,a,CG,Stressed,Voiceless,Initial
2162,0.0769264316,40.1397968758,10024.8734439701,2851.7454475394,-2.0662470974,4.5588896073,s,a,CG,Unstressed,Voiceless,Initial
2163,0.0959489486,44.6292898933,9483.5428206489,2854.2752126752,-1.7146686081,3.3013508704,s,a,CG,Stressed,Voiceless,Initial
2164,0.0865113471,28.2182913416,8966.2391939915,3020.4458118088,-0.2268576852,-0.818775456,s,a,CG,Unstressed,Voiceless,Initial
2165,0.0894151499,36.6368357442,7458.3687456793,3112.5502081679,0.7503233824,-0.3694120661,s,a,CG,Stressed,Voiceless,Initial
2166,0.0745126249,30.7719898787,8325.9188408462,3420.0216369034,-0.5061854897,-0.1431084063,s,a,CG,Unstressed,Voiceless,Initial
2167,0.0995652703,34.7358613505,9937.3433476369,1879.7169310382,-1.308839586,3.687526397,s,a,CG,Stressed,Voiceless,Initial
2168,0.0732911017,33.123748875,9116.0615538806,2897.2852711007,-0.7831616041,0.4033511628,s,a,CG,Unstressed,Voiceless,Initial
2169,0.1224892328,34.087348498,10110.4705282128,2112.0447083717,-0.849972268,1.0871731543,s,a,CG,Stressed,Voiceless,Initial
2170,0.0663483345,35.3449283574,8085.9365852203,3098.9337461122,-0.2984701196,-0.623419918,s,a,CG,Unstressed,Voiceless,Initial
2171,0.0909545281,35.2207892683,9094.1322583646,2640.3126437816,-0.1095664927,-0.4863841046,s,a,CG,Stressed,Voiceless,Initial
2172,0.0799297368,35.0313477137,9690.6859806589,2365.6570963295,-1.0293199031,3.0344377446,s,a,CG,Unstressed,Voiceless,Initial
2173,0.1195619607,36.147130888,9455.0160750529,2509.8190245915,-0.3824470251,0.3076982421,s,a,CG,Stressed,Voiceless,Initial
2174,0.0710908955,30.8632492629,8633.70283886,3027.4926320924,-0.5611613332,-0.1979756761,s,a,CG,Unstressed,Voiceless,Initial
2175,0.140695122,45.5633599288,10829.2694399686,1841.6725520455,-1.0335907514,6.8846832408,s,a,CG,Stressed,Voiceless,Initial
2176,0.131979495,32.1510850175,10769.087782575,1544.365103947,-0.9280848497,11.0051574474,s,a,CG,Unstressed,Voiceless,Initial
2177,0.1280914813,31.4706131264,10410.5684425871,2577.4372399226,-1.6181399759,4.204904982,s,a,CG,Stressed,Voiceless,Initial
2178,0.095700532,40.5976787615,10850.7446436347,2278.6133023355,-1.8189627831,6.0623415677,s,a,CG,Unstressed,Voiceless,Initial
2179,0.1531022794,45.8377021309,10853.6981860678,2721.6836217441,-1.0519854938,2.3080033786,s,a,CG,Stressed,Voiceless,Initial
2180,0.1207391959,37.2705568211,11024.5240064554,1918.1106713604,-1.1599154886,6.9541872276,s,a,CG,Unstressed,Voiceless,Initial
2181,0.1433673667,51.3024372687,10695.1160181955,1726.5112383377,0.1005399154,4.6781913518,s,a,CG,Stressed,Voiceless,Initial
2182,0.1047065038,44.7652556955,11418.5462667432,2366.2515069452,-1.8488643359,7.5184498891,s,a,CG,Unstressed,Voiceless,Initial
2183,0.1224597506,38.1357027602,10721.1313871648,2032.3119476747,-1.6103805635,8.4570371017,s,a,CG,Stressed,Voiceless,Initial
2184,0.1004552642,36.0184798498,10971.6506816779,2283.0578927151,-2.443091576,9.0744386177,s,a,CG,Unstressed,Voiceless,Initial
2185,0.199827898,46.3933704048,11237.4491230618,2303.6995061566,-0.540831798,3.1597090839,s,a,CG,Stressed,Voiceless,Initial
2186,0.1325174482,41.034559989,10936.0042877681,1460.6666950984,-1.5472973342,12.866744135,s,a,CG,Unstressed,Voiceless,Initial
2187,0.1177134073,53.1983241421,11214.4724237627,1763.3776179423,-0.2973226187,4.9752924357,s,a,CG,Stressed,Voiceless,Initial
