"","Word","Freq","Prop"
"1753","derision",1,3.7811472000605e-05
"1754","deserved",1,3.7811472000605e-05
"1755","despair",1,3.7811472000605e-05
"1756","desperate",1,3.7811472000605e-05
"1757","desperately",1,3.7811472000605e-05
"1758","diamonds",1,3.7811472000605e-05
"1759","die",1,3.7811472000605e-05
"1760","died",1,3.7811472000605e-05
"1761","difficulties",1,3.7811472000605e-05
"1762","dig",1,3.7811472000605e-05
"1763","diligently",1,3.7811472000605e-05
"1764","dinah s",1,3.7811472000605e-05
"1765","disagree",1,3.7811472000605e-05
"1766","disappointment",1,3.7811472000605e-05
"1767","disgust",1,3.7811472000605e-05
"1768","dismay",1,3.7811472000605e-05
"1769","disobey",1,3.7811472000605e-05
"1770","distance but",1,3.7811472000605e-05
"1771","distraction",1,3.7811472000605e-05
"1772","dive",1,3.7811472000605e-05
"1773","dodged",1,3.7811472000605e-05
"1774","dog s",1,3.7811472000605e-05
"1775","door i",1,3.7811472000605e-05
"1776","doorway",1,3.7811472000605e-05
"1777","dormouse s",1,3.7811472000605e-05
"1778","double",1,3.7811472000605e-05
"1779","doubled up",1,3.7811472000605e-05
"1780","doubling",1,3.7811472000605e-05
"1781","down here",1,3.7811472000605e-05
"1782","downward",1,3.7811472000605e-05
"1783","downwards",1,3.7811472000605e-05
"1784","doze",1,3.7811472000605e-05
"1785","dozing",1,3.7811472000605e-05
"1786","draggled",1,3.7811472000605e-05
"1787","drawing",1,3.7811472000605e-05
"1788","drawling",1,3.7811472000605e-05
"1789","drawling master",1,3.7811472000605e-05
"1790","drawling the",1,3.7811472000605e-05
"1791","dreamed",1,3.7811472000605e-05
"1792","dreaming",1,3.7811472000605e-05
"1793","dreamy",1,3.7811472000605e-05
"1794","dressed",1,3.7811472000605e-05
"1795","dried",1,3.7811472000605e-05
"1796","driest",1,3.7811472000605e-05
"1797","drinking",1,3.7811472000605e-05
"1798","dripping",1,3.7811472000605e-05
"1799","drop",1,3.7811472000605e-05
"1800","dropping",1,3.7811472000605e-05
"1801","drowned",1,3.7811472000605e-05
"1802","dunce",1,3.7811472000605e-05
"1803","eaten",1,3.7811472000605e-05
"1804","eating",1,3.7811472000605e-05
"1805","eats",1,3.7811472000605e-05
"1806","edgar",1,3.7811472000605e-05
"1807","edition",1,3.7811472000605e-05
"1808","educations in",1,3.7811472000605e-05
"1809","eel",1,3.7811472000605e-05
"1810","eels",1,3.7811472000605e-05
"1811","egg",1,3.7811472000605e-05
"1812","elbows",1,3.7811472000605e-05
"1813","elegant",1,3.7811472000605e-05
"1814","eleventh",1,3.7811472000605e-05
"1815","else but",1,3.7811472000605e-05
"1816","else s",1,3.7811472000605e-05
"1817","elsie",1,3.7811472000605e-05
"1818","emphasis",1,3.7811472000605e-05
"1819","empty",1,3.7811472000605e-05
"1820","encourage",1,3.7811472000605e-05
"1821","encouraged",1,3.7811472000605e-05
"1822","ending",1,3.7811472000605e-05
"1823","energetic",1,3.7811472000605e-05
"1824","engaged",1,3.7811472000605e-05
"1825","england",1,3.7811472000605e-05
"1826","engraved",1,3.7811472000605e-05
"1827","enjoy",1,3.7811472000605e-05
"1828","enormous",1,3.7811472000605e-05
"1829","enough i",1,3.7811472000605e-05
"1830","entrance",1,3.7811472000605e-05
"1831","esq",1,3.7811472000605e-05
"1832","est",1,3.7811472000605e-05
"1833","evidently",1,3.7811472000605e-05
"1834","exact",1,3.7811472000605e-05
"1835","examining",1,3.7811472000605e-05
"1836","exclamation",1,3.7811472000605e-05
"1837","execute",1,3.7811472000605e-05
"1838","executes",1,3.7811472000605e-05
"1839","execution once",1,3.7811472000605e-05
"1840","executioner s",1,3.7811472000605e-05
"1841","existence",1,3.7811472000605e-05
"1842","expected",1,3.7811472000605e-05
"1843","explained",1,3.7811472000605e-05
"1844","explanations",1,3.7811472000605e-05
"1845","expressing",1,3.7811472000605e-05
"1846","expression",1,3.7811472000605e-05
"1847","extras",1,3.7811472000605e-05
"1848","eyelids",1,3.7811472000605e-05
"1849","eyes and",1,3.7811472000605e-05
"1850","eyes tell",1,3.7811472000605e-05
"1851","face and",1,3.7811472000605e-05
"1852","fading",1,3.7811472000605e-05
"1853","failure",1,3.7811472000605e-05
"1854","faint",1,3.7811472000605e-05
"1855","fainting",1,3.7811472000605e-05
"1856","faintly",1,3.7811472000605e-05
"1857","fair",1,3.7811472000605e-05
"1858","fairly",1,3.7811472000605e-05
"1859","fairy tales",1,3.7811472000605e-05
"1860","familiarly",1,3.7811472000605e-05
"1861","family",1,3.7811472000605e-05
"1862","fancy who s",1,3.7811472000605e-05
"1863","fancying",1,3.7811472000605e-05
"1864","fanned",1,3.7811472000605e-05
"1865","fanning",1,3.7811472000605e-05
"1866","farm yard while",1,3.7811472000605e-05
"1867","farmer",1,3.7811472000605e-05
"1868","farther",1,3.7811472000605e-05
"1869","fat",1,3.7811472000605e-05
"1870","favoured",1,3.7811472000605e-05
"1871","favourite",1,3.7811472000605e-05
"1872","feared",1,3.7811472000605e-05
"1873","feather",1,3.7811472000605e-05
"1874","feathers",1,3.7811472000605e-05
"1875","feebly",1,3.7811472000605e-05
"1876","fellows",1,3.7811472000605e-05
"1877","fender",1,3.7811472000605e-05
"1878","fidgeted",1,3.7811472000605e-05
"1879","field",1,3.7811472000605e-05
"1880","fifteen",1,3.7811472000605e-05
"1881","fifteenth",1,3.7811472000605e-05
"1882","fifth",1,3.7811472000605e-05
"1883","fig",1,3.7811472000605e-05
"1884","fighting",1,3.7811472000605e-05
"1885","figures",1,3.7811472000605e-05
"1886","fills",1,3.7811472000605e-05
"1887","finds",1,3.7811472000605e-05
"1888","finishing",1,3.7811472000605e-05
"1889","fire irons",1,3.7811472000605e-05
"1890","fireplace",1,3.7811472000605e-05
"1891","first they",1,3.7811472000605e-05
"1892","first verdict",1,3.7811472000605e-05
"1893","fish and",1,3.7811472000605e-05
"1894","fishes",1,3.7811472000605e-05
"1895","fits",1,3.7811472000605e-05
"1896","fitted",1,3.7811472000605e-05
"1897","fix",1,3.7811472000605e-05
"1898","fixed",1,3.7811472000605e-05
"1899","flame",1,3.7811472000605e-05
"1900","flapper",1,3.7811472000605e-05
"1901","flappers",1,3.7811472000605e-05
"1902","flashed",1,3.7811472000605e-05
"1903","flavour",1,3.7811472000605e-05
"1904","flew",1,3.7811472000605e-05
"1905","flinging",1,3.7811472000605e-05
"1906","flock",1,3.7811472000605e-05
"1907","flower beds",1,3.7811472000605e-05
"1908","flower pot",1,3.7811472000605e-05
"1909","flown",1,3.7811472000605e-05
"1910","flung",1,3.7811472000605e-05
"1911","flurry",1,3.7811472000605e-05
"1912","flustered",1,3.7811472000605e-05
"1913","fluttered",1,3.7811472000605e-05
"1914","flying",1,3.7811472000605e-05
"1915","folding",1,3.7811472000605e-05
"1916","fond of of",1,3.7811472000605e-05
"1917","foolish",1,3.7811472000605e-05
"1918","footman s",1,3.7811472000605e-05
"1919","footmen",1,3.7811472000605e-05
"1920","forepaws",1,3.7811472000605e-05
"1921","fork",1,3.7811472000605e-05
"1922","form",1,3.7811472000605e-05
"1923","fortunately",1,3.7811472000605e-05
"1924","forty two",1,3.7811472000605e-05
"1925","forwards",1,3.7811472000605e-05
"1926","fourteenth",1,3.7811472000605e-05
"1927","fourth",1,3.7811472000605e-05
"1928","france",1,3.7811472000605e-05
"1929","frighten",1,3.7811472000605e-05
"1930","frog footman",1,3.7811472000605e-05
"1931","frontispiece",1,3.7811472000605e-05
"1932","frying pan",1,3.7811472000605e-05
"1933","fulcrum",1,3.7811472000605e-05
"1934","fumbled",1,3.7811472000605e-05
"1935","furious",1,3.7811472000605e-05
"1936","furiously",1,3.7811472000605e-05
"1937","furrow",1,3.7811472000605e-05
"1938","furrows",1,3.7811472000605e-05
"1939","gained",1,3.7811472000605e-05
"1940","gallons",1,3.7811472000605e-05
"1941","game s",1,3.7811472000605e-05
"1942","games",1,3.7811472000605e-05
"1943","garden how",1,3.7811472000605e-05
"1944","gather",1,3.7811472000605e-05
"1945","gay",1,3.7811472000605e-05
"1946","gazing",1,3.7811472000605e-05
"1947","geography",1,3.7811472000605e-05
"1948","given",1,3.7811472000605e-05
"1949","glanced",1,3.7811472000605e-05
"1950","glaring",1,3.7811472000605e-05
"1951","globe",1,3.7811472000605e-05
"1952","gloomily",1,3.7811472000605e-05
"1953","gloves that",1,3.7811472000605e-05
"1954","good bye",1,3.7811472000605e-05
"1955","good natured",1,3.7811472000605e-05
"1956","good naturedly",1,3.7811472000605e-05
"1957","graceful",1,3.7811472000605e-05
"1958","grammar",1,3.7811472000605e-05
"1959","grant",1,3.7811472000605e-05
"1960","gravy",1,3.7811472000605e-05
"1961","grazed",1,3.7811472000605e-05
"1962","grew",1,3.7811472000605e-05
"1963","grey",1,3.7811472000605e-05
"1964","grief",1,3.7811472000605e-05
"1965","grinning",1,3.7811472000605e-05
"1966","grins",1,3.7811472000605e-05
"1967","ground and",1,3.7811472000605e-05
"1968","growled",1,3.7811472000605e-05
"1969","growling",1,3.7811472000605e-05
"1970","growls",1,3.7811472000605e-05
"1971","grumbled",1,3.7811472000605e-05
