"alice" "great_expectations"
"did" 0.231634679020516 0.1619183058232
"much" 0.187513787778513 0.165646687865182
"never" 0.172806824031179 0.167777191889171
"how" 0.250018383704684 0.153396289727242
"well" 0.220604456210015 0.156592045763226
"say" 0.187513787778513 0.160320427805208
"before" 0.139716155599676 0.164581435853187
"don" 0.224281197146849 0.15179841170925
"here" 0.187513787778513 0.156059419757229
"pip" 0 0.181625468045103
"see" 0.246341642767851 0.145939525643279
"after" 0.154423119347011 0.154994167745234
"made" 0.110302228105008 0.159787801799211
"old" 0.0698580777998382 0.165114061859184
"are" 0.198544010589014 0.145939525643279
"way" 0.19486726965218 0.144874273631284
"man" 0.018383704684168 0.169375069907163
"havisham" 0 0.169375069907163
"than" 0.0882417824840062 0.156059419757229
"herbert" 0 0.166711939877176
"go" 0.18383704684168 0.139015387565313
"thought" 0.272078829325686 0.126232363421376
"any" 0.14339289653651 0.143276395613292
"over" 0.147069637473344 0.135819631529329
"think" 0.19486726965218 0.128362867445366
"hand" 0.0735348187366718 0.1416785175953
"two" 0.14339289653651 0.13155862348135
"being" 0.0698580777998382 0.141145891589303
"wemmick" 0 0.151265785703253
"got" 0.165453342157512 0.126764989427374
"us" 0.0514743731156703 0.1416785175953
"back" 0.139716155599676 0.127297615433371
"put" 0.113978969041841 0.131025997475353
"came" 0.147069637473344 0.125167111409382
"am" 0.0588278549893375 0.136884883541324
"head" 0.18383704684168 0.118242973331416
"estella" 0 0.14380902161929
"took" 0.0882417824840062 0.129428119457361
"our" 0.0294139274946687 0.137417509547321
"going" 0.0992720052945069 0.126232363421376
"saw" 0.0514743731156703 0.133156501499342
"off" 0.268402088388852 0.0985358111095132
"might" 0.102948746231341 0.1214387293674
"good" 0.0882417824840062 0.123036607385392
"quite" 0.202220751525847 0.105992575193476
"first" 0.187513787778513 0.103862071169487
"jaggers" 0 0.128895493451363
"must" 0.161776601220678 0.105459949187479
"myself" 0.0257371865578351 0.125167111409382
"other" 0.147069637473344 0.107057827205471
"dear" 0.106625487168174 0.11131883525345
"can" 0.231634679020516 0.0916116730315474
"look" 0.102948746231341 0.108655705223463
"biddy" 0 0.123036607385392
"such" 0.150746378410177 0.1011989411395
"done" 0.0551511140525039 0.112916713271442
"their" 0.191190528715347 0.0932095510495395
"ll" 0.209574233399515 0.0889485430015606
"while" 0.0919185234208398 0.105992575193476
"only" 0.18383704684168 0.0916116730315474
"round" 0.150746378410177 0.0964053070855238
"boy" 0.0110302228105008 0.115579843301429
"day" 0.0919185234208398 0.10332944516349
"too" 0.0955952643576734 0.102264193151495
"last" 0.121332450915508 0.0974705590975185
"where" 0.0551511140525039 0.107057827205471
"great" 0.14339289653651 0.0932095510495395
"ever" 0.0772115596735054 0.102264193151495
"nothing" 0.125009191852342 0.0937421770555369
"eyes" 0.106625487168174 0.0958726810795264
"its" 0.209574233399515 0.0804265269056027
"looking" 0.110302228105008 0.0942748030615343
"will" 0.121332450915508 0.0926769250435422
"long" 0.117655709978675 0.0900137950135553
"own" 0.0367674093683359 0.101731567145497
"get" 0.169130083094345 0.0820244049235948
"take" 0.080888300610339 0.0921442990375448
"hands" 0.0441208912420031 0.0969379330915211
